"SeqRegra","SeqCons","Regra","Ordem","Condicao","Acao1","Acao2"
"78","91","RESUMOS","F","[[CEN]] = [[EMP]]","[COR_FUNDO] #COR=65535","[NEGRITO]"
"79","91","RESUMOS","D","[[CEN]] = '* TOTAL *'","[COR_FUNDO] #COR=32768","[COR_TEXTO] #COR=16777215"
"80","91","CALC_PERC_TAXA","A","[[FINAL]] > 0","[SET] [[TC]] = [[PEDIDO]] / [[FINAL]]",""
"81","91","TOTAL GERAL","D","[[CEN]] = '* TOTAL *'","[NEGRITO]",""
"82","91","COLUNAS TOTAIS","A","1 = 1","[[OPORT]] [NEGRITO]","[[PROXIMO]] [NEGRITO]"
"83","91","SUCESSO","","[[PEDIDO]] > 0","[[PEDIDO]] [LED] [VERDE]",""
"84","91","PERDAS","","[[PERDEU]] > 0","[[PERDEU]] [COR_TEXTO] #COR=255",""
"85","91","A_TEMPERATURA","A","[[EMP]] != [[CEN]]","[[QUENTES]] [COR_FUNDO] #COR=12910532","[[MORNAS]] [COR_FUNDO] #COR=12910532"
"86","91","A_TEMPERATURA_B","A","[[EMP]] != [[CEN]]","[[FRIAS]] [COR_FUNDO] #COR=12910532","[[PROXIMO]] [COR_FUNDO] #COR=65280"
"87","91","POUCAS OPORTUNIDADES","","[[EMP]] != [[CEN]] AND [[PROXIMO]] < 4","[[PROXIMO]] [LED] [VERMELHO]","[LED] [AMARELO]"
"88","91","B_OPORTUNIDADES","A","[[EMP]] != [[CEN]]","[[REMAN]] [COR_FUNDO] #COR=16050124","[[NOVAS]] [COR_FUNDO] #COR=16050124"
"89","91","B_OPORTUNIDADES_2","A","[[EMP]] != [[CEN]]","[[OPORT]] [COR_FUNDO] #COR=16050124","[[FINAL]] [COR_FUNDO] #COR=13034239"
"90","91","z23","A","[[TC]] > 0.99","[[TC]] [COR_FUNDO] #COR=65280","[COR_TEXTO] #COR=0"
"91","87","SE_APROV_ANTESPRAZO","01","[[APROV]] <= 1 and [[APROV]] >= 0","[[APROV]] [COR_FUNDO] #COR=32768","[[APROV]] [COR_TEXTO] #COR=16777215"
"92","87","SE_AGD_APROV","01","[[AGD_APROV]] = 'N'","[[APROV]] [SETA_ACIMA] [VERDE]",""
